id-clube,nome-clube,id-liga,nome-liga
31698,H2 Club 12,128,Suprema Union
31693,SOS FICHAS,128,Suprema Union
30037,SX | Poker Premios,128,Suprema Union
178450,Smart Group Black,106,Suprema
30974,SX | DAVI MARABÁ,128,Suprema Union
30853,H2 Club 9,128,Suprema Union
30728,SX | UNIAO POKER,128,Suprema Union
30644,SX | Broca Boa,128,Suprema Union
10342,FULL HOUSE ONLINE,128,Suprema Union
29869,SX | DANIBONUS,128,Suprema Union
29842,SX | Mumu Poker,128,Suprema Union
29613,H2 Club 8,128,Suprema Union
25946,H2 Club 19,128,Suprema Union
22415,SX | PokerCash,128,Suprema Union
22170,ProEsportes Poker,128,Suprema Union
21921,SX | Moema Poker,128,Suprema Union
17285,BigHit Sports b2x,128,Suprema Union
10524,H2 Club 4,128,Suprema Union
11275,Xperience| CPC,128,Suprema Union
27720,SX | Eagle poker,106,Suprema
26417,H2 Club Curitiba,106,Suprema
260665,SX | Stars Jacks,106,Suprema
41144,BADBEAT POKER,106,Suprema
24730,H2 Club 18,106,Suprema
170341,SX | Aquarios Flash,106,Suprema
29446,Caveira Poker Club,106,Suprema
28968,SX | K9OFF POKER,106,Suprema
27985,H2 Club 7,106,Suprema
25327,H2 Club 6,106,Suprema
20112,Brasil Poker Online,106,Suprema
19812,H2 Club 5 🥏,106,Suprema
18831,Elite VIP,106,Suprema
17867,MILLIONAIRES | SX,106,Suprema
17619,Brasil Poker b2x,106,Suprema
17554,Flecha Poker | SX,106,Suprema
10001,SX | XX POKER,106,Suprema
10630,H2 Club 16,106,Suprema
10629,H2 Club 1,106,Suprema
17427,SX | Stars GG,106,Suprema
111111,“Arena”,111,Suprema EU
77777,OASIS,111,Suprema EU
57735,Angel Wings,111,Suprema EU
55630,Poker_chain,111,Suprema EU
55185,Flipster 2/7,111,Suprema EU
55168,Maison Royale,111,Suprema EU
49911,Monkey Club 21,111,Suprema EU
39100,TOPPA,106,Suprema
36748,Fenixpkrclub,137,Suprema A
33712,MACAO 2.0,137,Suprema A
10634,H2 Club 3,106,Suprema
37453,Poker Club-River,111,Suprema EU
43683,TurboCLUB,111,Suprema EU
44311,Elk,111,Suprema EU
45839,HardKings,111,Suprema EU
37263,Friend Club Poker,111,Suprema EU
34165,Seleção,111,Suprema EU
32032,KАRNIVAL,111,Suprema EU
29625,OriBackdori,111,Suprema EU
19645,Two Aces,111,Suprema EU
48558,__MATRIX__,111,Suprema EU
27992,GulfStream | GS,111,Suprema EU
24037,Crypto Club,111,Suprema EU
21975,Copacabana,111,Suprema EU
21734,SATURN⭐COSMOS,111,Suprema EU
20177,Tickling Aces,111,Suprema EU
19742,Club House,111,Suprema EU
11543,KOLOBOK,111,Suprema EU
23340,Pokerchamp,111,Suprema EU
23681,Z-Furia,111,Suprema EU
50759,RiverShark,136,Suprema Mexico
51146,Patos MX,136,Suprema Mexico
22352,777 PÓKER PERÚ,127,Suprema Peru
23743,LE PINARI 🌍,147,Suprema Colombia
24403,METROPOLITAN CLUB,147,Suprema Colombia
25132,All Star Club ⭐️,127,Suprema Peru
25308,UTG Brasil,147,Suprema Colombia
25341,6CARDS PLO,127,Suprema Peru
25537,Colombian Fishes,127,Suprema Peru
38953,LA CHAMBA,127,Suprema Peru
42351,Gotham Póker Club,127,Suprema Peru
43172,ACE POKER,147,Suprema Colombia
46387,LEGENDS - CLUB,127,Suprema Peru
48150,VINOCO CLUB,127,Suprema Peru
48507,.RELOAD.,127,Suprema Peru
53701,INTI POKER CLUB,127,Suprema Peru
55877,TREB0L.,127,Suprema Peru
58021,BLACK ACE ♤,147,Suprema Colombia
39964,Altos VIP,148,Suprema V
41229,506POKER,148,Suprema V
1007657,HoldemClub LITE,107,Liga Principal
18013,JAMBU POKER,107,Liga Principal
790629,W2 Poker Clube 2,107,Liga Principal
567699,Vamo Brasil 1,107,Liga Principal
334443,Maníacos,107,Liga Principal
48173,ARENA BLACK,107,Liga Principal
43365,Clubes Brazil 5,107,Liga Principal
35024,CLUBE 3 YAMADA,107,Liga Principal
20130,BADBEAT TEAM,107,Liga Principal
11990,BPD REAL,107,Liga Principal
14437,Copas_Club,107,Liga Principal
1529060,POKERda Santinha,171,Liga Royal
42137,POKER P.A.,171,Liga Royal
36623,CWB STREET,171,Liga Royal
55625,Amazonia,111,Suprema EU
49760,HIGHLANDERS,150,Suprema Bolivia
25907,Global Brasil,127,Suprema Peru
1637654,PLO5 Poker,107,Liga Principal
19926,DRAMA KINGS,111,Suprema EU
44064,SX | CLUBES BRAZIL 4,128,Suprema Union
37239,Clube  Veneza,128,Suprema Union
38662,Poker fold,128,Suprema Union
52248,PDA POKER CLUBE,128,Suprema Union
20105,Bellagio Fichas,106,Suprema
42040,NACIONAL POKER,128,Suprema Union
51634,Secret room,111,Suprema EU
31138,SX | Rei de Copas,128,Suprema Union
34700,SX | SCPT ONLINE,128,Suprema Union
54339,SX | Million,128,Suprema Union
48755,SX | CLUB DO TOWER,128,Suprema Union
35194,Dicas de Poker,171,Liga Royal
32798,Sharks Sorocaba,128,Suprema Union
36428,Parceira Poker,128,Suprema Union
53986,SX-E ADM,205,Suprema SX-E
53001,Uruguai ADM,204,Suprema Uruguai
51346,India ADM,202,Suprema India
45236,Chile ADM,184,Suprema Chile
43328,Canada ADM,174,SUPREMA CANADA
43327,SX USD ADM,173,Suprema SX USD
42799,Rodeo,170,SRODEO
42039,EUA FN ADM,166,Suprema USA FN
41524,Kazakhstan ADM,164,Suprema KZ
41523,Costa Rica ADM,163,Suprema Costa Rica
32514,Bolívia ADM,150,Suprema Bolivia
32513,R Dominicana ADM,149,Suprema R Dominicana
32512,Venezuela ADM,148,Suprema V
32511,Suprema Colombia ADM,147,Suprema Colombia
31493,Panama ADM,145,Suprema Panama
23308,Argentina ADM,137,Suprema A
23307,México ADM,136,Suprema Mexico
18244,Supreme EUA ADM,135,Supreme Poker
21856,Suprema Asia,132,Suprema Asia
20106,Liga Suprema ADM 2,128,Suprema Union
20029,Suprema Peru ADM,127,Suprema Peru
12814,Suprema EU ADM,111,Suprema EU
10082,Principal ADM,107,Liga Principal
10044,Liga Suprema ADM,106,Suprema
53469,Revolution,128,Suprema Union
36152,Derby,128,Suprema Union
41892,PokerGO,128,Suprema Union
20074,The Union Poker,128,Suprema Union
19716,AKVILON,111,Suprema EU
33645,Green Games,137,Suprema A
45597,SX | PIX GAME,128,Suprema Union
108888,Jorginho Poker,213,Vulcao
547547,Disney Poker Club,213,Vulcao
54030,Alliance PT,111,Suprema EU
20436,Paradise,111,Suprema EU
27689,Poker Global,128,Suprema Union
22331,CAPITAL PÓKER CLUB,127,Suprema Peru
57906,SX Club,128,Suprema Union
53742,SX | BAH POKER CLUB,128,Suprema Union
49863,SX | Poker dos Piá,128,Suprema Union
57765,BBClub Bolivia,150,Suprema Bolivia
38110,Club Caribe,106,Suprema
407642,FCTH - Oficial,213,Vulcao
41592,CashVille,111,Suprema EU
50716,ICE LIGTH HG,180,???? HOME GAME ????
50953,7duck,180,???? HOME GAME ????
30553,AZIMYT.,111,Suprema EU
54784,H2 Club 22,128,Suprema Union
31703,H2 Club 17,128,Suprema Union
31700,H2 Club 14,128,Suprema Union
10519,H2 Club 2,106,Suprema
50779,LE FORTUNE,147,Suprema Colombia
20946,Apple Supreme,128,Suprema Union
57040,TableSelection,128,Suprema Union
34004,NPC,128,Suprema Union
34908,SX | QG Poker,128,Suprema Union
23594,ARCHIBALD,111,Suprema EU
727588,Das Estrelas,106,Suprema
57608,SX | IPC Poker Club,128,Suprema Union
52734,Broadway,111,Suprema EU
43058,All’in poker,128,Suprema Union
34831,PEA ♣️♠️♥️♦️,145,Suprema Panama
21026,Tagan_Brazilian,111,Suprema EU
55695,HG DO LUCÃO,128,Suprema Union
33149,FagundezCryptoPoker,111,Suprema EU
19640,Nice Try PH,111,Suprema EU
40086,SX | A2 POKER,128,Suprema Union
56914,OmahaGoliC20/80,111,Suprema EU
42540,SX | Maxima,128,Suprema Union
45066,AA friends,111,Suprema EU
21021,Sibir 70,111,Suprema EU
23198,God Mode,111,Suprema EU
54087,SX | NOJO POKER,128,Suprema Union
51683,Lucky Drops,111,Suprema EU
49351,SX | Poker Jannotti,128,Suprema Union
967564,TeamBack,137,Suprema A
57009,the lions,127,Suprema Peru
23382,Cash Latino,127,Suprema Peru
55801,ZOMBIE POKER,148,Suprema V
45169,Kamarim,107,Liga Principal
48037,��Carta Alta��,128,Suprema Union
33227,Super Lucky,111,Suprema EU
57732,LuckyOuts,147,Suprema Colombia
40014,Infiniti,111,Suprema EU
27685,PokerShark🦈SC🦈,150,Suprema Bolivia
42115,Club Poker Bolivia,150,Suprema Bolivia
48932,SX | FML Poker,128,Suprema Union
33548,SX | Hot Poker,128,Suprema Union
40361,SX | XTREME ELITE,128,Suprema Union
39002,SX | ALIEN,128,Suprema Union
42819,SX | FALINHA POKER,128,Suprema Union
42276,SX | BIG SHARK,128,Suprema Union
670454,SX | XTREME Plus,107,Liga Principal
44359,SX | XTREME USD,173,Suprema SX USD
825000,FF PokerClub,106,Suprema
101101,Vegas Poker Clube,128,Suprema Union
39085,SX | JOEBET Poker,128,Suprema Union
33189,SX | Deu Odds,128,Suprema Union
51140,SX | POKER OSASCO,128,Suprema Union
52886,BaralhoBR,128,Suprema Union
4570102,RochaPoker Clube,128,Suprema Union
21035,SX | HEAD Poker,128,Suprema Union
53376,SX | RoyalClubBC,128,Suprema Union
41046,SX ButecoDoGordinho,128,Suprema Union
40394,SX Clube do Lulinha,128,Suprema Union
41703,SX | Zé Mineiro,128,Suprema Union
40382,SX | Golden Sun,128,Suprema Union
39186,SX | La Mafia,128,Suprema Union
54321,SX|VSOP Home Game,128,Suprema Union
88800,XTREME ULTIMATE,106,Suprema
55048,SX | SECRET,128,Suprema Union
55015,SX | A18 POKER CLUBE,128,Suprema Union
54314,BrotherhOOd_ USD|SX,173,Suprema SX USD
10745,WPoker | SX,128,Suprema Union
51162,SX | BLEFE POINT,128,Suprema Union
30217,SX | LPC ON,128,Suprema Union
52830,SX | GV POKER CLUBE,128,Suprema Union
31284,SX | XTREME 4,128,Suprema Union
53428,SX | BP Poker,128,Suprema Union
20760,⭐️ ASGARD ⭐️,111,Suprema EU
1087286,SX | Araguaia Online,106,Suprema
47381,SX | NEXT GOLD,128,Suprema Union
47146,SX | 666 Poker Clube,128,Suprema Union
54398,SX | TexasPokerClube,128,Suprema Union
24436,agasikrasava,111,Suprema EU
49915,SX | ♠️Ace Poker♦️,128,Suprema Union
13097,Friendly♦️club,111,Suprema EU
47705,ClubPot,128,Suprema Union
46702,Diamond Club RO,128,Suprema Union
57741,DOFUS,147,Suprema Colombia
55072,Chilean Poker Series,184,Suprema Chile
21806,BROKA PRINCIPAL😍,107,Liga Principal
45014,GETSTAR 4,107,Liga Principal
54109,SX| Regional Cidades,128,Suprema Union
53973,SX | Patifaria Poker,128,Suprema Union
52251,SX | Play Poker Club,128,Suprema Union
40226,Easy Game,128,Suprema Union
31604,SX | Founders,128,Suprema Union
28970,SX | FC Fichas Clube,106,Suprema
1083800,Five Cards 1,106,Suprema
300300,Poker em Casa 3,106,Suprema
21580,SniperClube,107,Liga Principal
40997,ALL FRIENDS,111,Suprema EU
47661,BananasClub,128,Suprema Union
210021,RPC ONLINE,128,Suprema Union
47804,Seven Kings,128,Suprema Union
57328,JACKPOT BRAVA,128,Suprema Union
44998,Alucina Poker,128,Suprema Union
54682,Caveira Light,180,???? HOME GAME ????
42037,FichasNet USD,166,Suprema USA FN
41771,Peaky Blinders,111,Suprema EU
53763,FINKA,111,Suprema EU
34817,Millions Poker,128,Suprema Union
56833,777 Games,128,Suprema Union
34671,Flush Poker Club,128,Suprema Union
31684,EcuaPoker,145,Suprema Panama
51046,poker & friends,136,Suprema Mexico
47657,Beach,128,Suprema Union
33927,Cards Royale,128,Suprema Union
57093,SlavicBrothers,111,Suprema EU
40107,HIT POKER CLUB,148,Suprema V
10532,GDR Union 2,107,Liga Principal
23003,MindGamers,127,Suprema Peru
46814,RIVER CLUB,111,Suprema EU
37104,Clube  Maloca,128,Suprema Union
50867,SevenCrownGt,148,Suprema V
52711,Crucia,111,Suprema EU
30195,CLUBE 300,107,Liga Principal
20368,DUSK TILL DOWN,111,Suprema EU
45335,SX | ESTRELAS,128,Suprema Union
42976,SX | ADAMAS POKER,128,Suprema Union
20094,SX Freeroll,106,Suprema
53259,TESTE | CRFlamengo,128,Suprema Union
30725,SX | ENJOY ONLINE,128,Suprema Union
43640,SX|POKER CLUB ONLINE,128,Suprema Union
43324,SX | Route66,173,Suprema SX USD
47508,SX | STORM GOLD,128,Suprema Union
1874069,SX | KING Plus,107,Liga Principal
29664,SX | 72offs,128,Suprema Union
42301,SX | 4King$,128,Suprema Union
34276,SX | T8nuts,128,Suprema Union
46130,Sociedade Poker,128,Suprema Union
43971,Royal Poker Online,128,Suprema Union
46203,GrindUp,128,Suprema Union
37827,Forasteiros ⚔️,128,Suprema Union
33603,Universo do Poker,128,Suprema Union
43773,Royal Agency Room,166,Suprema USA FN
